_id,id,car_name,car_model,car_model_year
"5fae75c7c1a9e88fed0ff56a","5fae6e82fc13ae1dbd000000","Smart","Fortwo",2008
"5fae75c7c1a9e88fed0ff56b","5fae6e82fc13ae1dbd000001","Oldsmobile","Ciera",1996
"5fae75c7c1a9e88fed0ff56c","5fae6e82fc13ae1dbd000002","Jeep","Compass",2011
"5fae75c7c1a9e88fed0ff56d","5fae6e82fc13ae1dbd000003","Jaguar","XK Series",1998
"5fae75c7c1a9e88fed0ff56e","5fae6e82fc13ae1dbd000004","Toyota","Tacoma Xtra",1997
"5fae75c7c1a9e88fed0ff56f","5fae6e82fc13ae1dbd000005","Mitsubishi","Mighty Max Macro",1993
"5fae75c7c1a9e88fed0ff570","5fae6e82fc13ae1dbd000006","Nissan","Cube",2011
"5fae75c7c1a9e88fed0ff571","5fae6e82fc13ae1dbd000007","Mercury","Villager",1999
"5fae75c7c1a9e88fed0ff572","5fae6e82fc13ae1dbd000008","Pontiac","Bonneville",1987
"5fae75c7c1a9e88fed0ff573","5fae6e82fc13ae1dbd000009","Eagle","Vision",1995
"5fae75c7c1a9e88fed0ff574","5fae6e82fc13ae1dbd00000a","GMC","Suburban 1500",1996
"5fae75c7c1a9e88fed0ff575","5fae6e82fc13ae1dbd00000b","Oldsmobile",98,1996
"5fae75c7c1a9e88fed0ff576","5fae6e82fc13ae1dbd00000c","Dodge","Dakota Club",2002
"5fae75c7c1a9e88fed0ff577","5fae6e82fc13ae1dbd00000d","Mercedes-Benz","S-Class",2004
"5fae75c7c1a9e88fed0ff578","5fae6e82fc13ae1dbd00000e","Toyota","Highlander",2008
"5fae75c7c1a9e88fed0ff579","5fae6e82fc13ae1dbd00000f","Mazda","Millenia",1999
"5fae75c7c1a9e88fed0ff57a","5fae6e82fc13ae1dbd000010","Fairthorpe","Rockette",1960
"5fae75c7c1a9e88fed0ff57b","5fae6e82fc13ae1dbd000011","Hyundai","Veracruz",2008
"5fae75c7c1a9e88fed0ff57c","5fae6e82fc13ae1dbd000012","Ford","Crown Victoria",2000
"5fae75c7c1a9e88fed0ff57d","5fae6e82fc13ae1dbd000013","Jeep","Compass",2007
"5fae75c7c1a9e88fed0ff57e","5fae6e82fc13ae1dbd000014","Oldsmobile","Aurora",1997
"5fae75c7c1a9e88fed0ff57f","5fae6e82fc13ae1dbd000015","Subaru","Justy",1989
"5fae75c7c1a9e88fed0ff580","5fae6e82fc13ae1dbd000016","Chevrolet","Suburban 1500",2010
"5fae75c7c1a9e88fed0ff581","5fae6e82fc13ae1dbd000017","Audi","A6",2005
"5fae75c7c1a9e88fed0ff582","5fae6e82fc13ae1dbd000018","Lexus","LX",1997
"5fae75c7c1a9e88fed0ff583","5fae6e82fc13ae1dbd000019","MINI","Cooper",2011
"5fae75c7c1a9e88fed0ff584","5fae6e82fc13ae1dbd00001a","Chrysler","Voyager",2001
"5fae75c7c1a9e88fed0ff585","5fae6e82fc13ae1dbd00001b","Ford","Taurus",2007
