_id,id,car_name,car_model,car_model_year
"5fae6e1bf74f7444f49cea80","5fae6e57fc13ae7c2b000000","Audi","R8",2008
"5fae6e1bf74f7444f49cea81","5fae6e57fc13ae7c2b000001","GMC","Jimmy",1999
"5fae6e1bf74f7444f49cea82","5fae6e57fc13ae7c2b000002","Volvo","XC90",2009
"5fae6e1bf74f7444f49cea83","5fae6e57fc13ae7c2b000003","Geo","Metro",1997
"5fae6e1bf74f7444f49cea84","5fae6e57fc13ae7c2b000004","Chevrolet","Silverado",2009
"5fae6e1bf74f7444f49cea85","5fae6e57fc13ae7c2b000005","Ford","Expedition",2003
"5fae6e1bf74f7444f49cea86","5fae6e57fc13ae7c2b000006","Volvo","C30",2010
"5fae6e1bf74f7444f49cea87","5fae6e57fc13ae7c2b000007","Buick","Rainier",2005
"5fae6e1bf74f7444f49cea88","5fae6e57fc13ae7c2b000008","Ford","Expedition",2002
"5fae6e1bf74f7444f49cea89","5fae6e57fc13ae7c2b000009","Kia","Sedona",2005
"5fae6e1bf74f7444f49cea8a","5fae6e57fc13ae7c2b00000a","Toyota","MR2",2002
"5fae6e1bf74f7444f49cea8b","5fae6e57fc13ae7c2b00000b","Mitsubishi","Outlander",2003
"5fae6e1bf74f7444f49cea8c","5fae6e57fc13ae7c2b00000c","GMC","Vandura 1500",1994
"5fae6e1bf74f7444f49cea8d","5fae6e57fc13ae7c2b00000d","GMC","Yukon XL 1500",2002
"5fae6e1bf74f7444f49cea8e","5fae6e57fc13ae7c2b00000e","GMC","Jimmy",1999
"5fae6e1bf74f7444f49cea8f","5fae6e57fc13ae7c2b00000f","Ford","Festiva",1989
"5fae6e1bf74f7444f49cea90","5fae6e57fc13ae7c2b000010","Land Rover","LR3",2008
"5fae6e1bf74f7444f49cea91","5fae6e57fc13ae7c2b000011","Volkswagen","Golf",1976
"5fae6e1bf74f7444f49cea92","5fae6e57fc13ae7c2b000012","Toyota","Solara",2008
"5fae6e1bf74f7444f49cea93","5fae6e57fc13ae7c2b000013","Spyker","C8 Laviolette",2004
"5fae6e1bf74f7444f49cea94","5fae6e57fc13ae7c2b000014","Ford","Flex",2012
"5fae6e1bf74f7444f49cea95","5fae6e57fc13ae7c2b000015","Pontiac","G3",2010
"5fae6e1bf74f7444f49cea96","5fae6e57fc13ae7c2b000016","Lexus","LS Hybrid",2011
"5fae6e1bf74f7444f49cea97","5fae6e57fc13ae7c2b000017","Oldsmobile","Cutlass",1999
"5fae6e1bf74f7444f49cea98","5fae6e57fc13ae7c2b000018","Mercedes-Benz","E-Class",1995
"5fae6e1bf74f7444f49cea99","5fae6e57fc13ae7c2b000019","Dodge","Viper",2001
"5fae6e1bf74f7444f49cea9a","5fae6e57fc13ae7c2b00001a","Plymouth","Sundance",1992
"5fae6e1bf74f7444f49cea9b","5fae6e57fc13ae7c2b00001b","Cadillac","CTS",2012
"5fae6e1bf74f7444f49cea9c","5fae6e57fc13ae7c2b00001c","Ford","Freestyle",2006
"5fae6e1bf74f7444f49cea9d","5fae6e57fc13ae7c2b00001d","Chevrolet","Express 3500",1997
"5fae6e1bf74f7444f49cea9e","5fae6e57fc13ae7c2b00001e","Land Rover","Freelander",2002
"5fae6e1bf74f7444f49cea9f","5fae6e57fc13ae7c2b00001f","Buick","Terraza",2006
"5fae6e1bf74f7444f49ceaa0","5fae6e57fc13ae7c2b000020","Ford","Escort",1994
"5fae6e1bf74f7444f49ceaa1","5fae6e57fc13ae7c2b000021","GMC","Savana 2500",2003
"5fae6e1bf74f7444f49ceaa2","5fae6e57fc13ae7c2b000022","Mazda","Miata MX-5",1994
"5fae6e1bf74f7444f49ceaa3","5fae6e57fc13ae7c2b000023","Subaru","Impreza",2002
"5fae6e1bf74f7444f49ceaa4","5fae6e57fc13ae7c2b000024","GMC","Savana 3500",2008
"5fae6e1bf74f7444f49ceaa5","5fae6e57fc13ae7c2b000025","Lexus","GS",1998
"5fae6e1bf74f7444f49ceaa6","5fae6e57fc13ae7c2b000026","Mitsubishi","3000GT",1994
"5fae6e1bf74f7444f49ceaa7","5fae6e57fc13ae7c2b000027","Mercury","Cougar",1986
"5fae6e1bf74f7444f49ceaa8","5fae6e57fc13ae7c2b000028","Chevrolet","Tahoe",2005
"5fae6e1bf74f7444f49ceaa9","5fae6e57fc13ae7c2b000029","Pontiac","Grand Prix",1981
"5fae6e1bf74f7444f49ceaaa","5fae6e57fc13ae7c2b00002a","BMW","Z3",1998
"5fae6e1bf74f7444f49ceaab","5fae6e57fc13ae7c2b00002b","Chevrolet","Suburban 1500",2006
"5fae6e1bf74f7444f49ceaac","5fae6e57fc13ae7c2b00002c","Ford","ZX2",2002
"5fae6e1bf74f7444f49ceaad","5fae6e57fc13ae7c2b00002d","Volvo",960,1993
"5fae6e1bf74f7444f49ceaae","5fae6e57fc13ae7c2b00002e","Infiniti","G",2006
